local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模与构型,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统由100颗低轨卫星组成，采用Walker构型（10面×10星），轨道高度1100km，倾角53°。（依据：对话中附件文档的明确指标）,REQ-001,candidate
REQ-002,覆盖能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应实现指定区域（海洋、航空、边远、应急）连续宽带覆盖，优先保障全球南北纬±60°区域。（依据：文档中指定区域连续宽带覆盖，并结合AI假设补充）,REQ-002,candidate
REQ-003,用户并发容量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统支持不少于10000个并发宽带用户。（依据：文档中明确给出）,REQ-003,candidate
REQ-004,单星用户吞吐量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星用户侧有效转发吞吐量不低于20Gbps。（源自载荷需求REQ-BP-002）,REQ-004,candidate
REQ-005,端到端时延,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户至信关站端到端通信时延不超过80ms（普通业务）。（依据：文档中端到端时延≤80ms指标）,REQ-005,candidate
REQ-006,星间链路能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星间链路支持不少于10Gbps数据转发，具备升级至50Gbps的接口余量。（源自载荷需求REQ-BP-003）,REQ-006,candidate
REQ-007,在轨可重构,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持在轨更新波束配置、路由策略、转发参数和业务优先级策略，更新过程具备回滚机制。（源自载荷需求REQ-BP-008）,REQ-007,candidate
REQ-008,波束覆盖与接入能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持多波束覆盖，可实时调整波束数量、指向和带宽分配，支持海量终端并发接入。（源自载荷需求REQ-BP-001）,REQ-008,candidate
REQ-009,星上处理与路由,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持数字透明转发、波束间交换、业务分类、路由表更新和网络管理指令下发。（源自载荷需求REQ-BP-004）,REQ-009,candidate
REQ-010,故障降级与容错,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统具备故障隔离、链路绕转、网关切换、业务降级能力。（依据：文档中可靠性/降级描述）,REQ-010,candidate
REQ-011,星上低时延控制,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星上处理引入的单跳时延需严格控制。（源自载荷需求REQ-BP-005，具体门限待定）,REQ-011,candidate
BLK-001,低轨卫星互联网星座系统,Block,02_Structure,Class,SysML::Blocks::Block,系统顶层块，代表整个100颗卫星星座及必要的地面支持系统。,REQ-001,candidate
BLK-002,宽带载荷分系统,Block,02_Structure,Class,SysML::Blocks::Block,卫星上的通信载荷，负责用户链路、馈电链路、星间链路及星上处理。（来源：对话中载荷分系统）,,candidate
BLK-003,卫星平台,Block,02_Structure,Class,SysML::Blocks::Block,提供电源、姿轨控、热控等平台服务，与载荷配合。（假设基于典型卫星设计）,,candidate
BLK-004,地面网关站,Block,02_Structure,Class,SysML::Blocks::Block,地面段站，提供馈电链路接入、核心网连接和网络控制。,,candidate
BLK-005,用户终端,Block,02_Structure,Class,SysML::Blocks::Block,包括固定、车载、船载、机载、便携等多种宽带终端。,,candidate
BLK-006,星间链路子模块,Block,02_Structure,Class,SysML::Blocks::Block,位于载荷分系统内，负责星间高速数据转发与链路控制。,,candidate
IF-001,用户链路接口,Interface,03_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,连接用户终端，提供Ku/Ka频段下行和上行接入，承载业务数据、同步信令和接入控制。（源自IF-BP-001）,REQ-008,candidate
IF-002,馈电链路接口,Interface,03_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,连接地面网关站，用于用户业务回传、网络控制和路由策略更新。（源自IF-BP-002）,,candidate
IF-003,星间链路接口,Interface,03_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,连接其他卫星，支持跨星数据转发，速率可升级。（源自IF-BP-003）,REQ-006,candidate
IF-004,测控管理接口,Interface,03_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,连接星务计算机/运控系统，接收配置、遥控和软件更新指令，输出载荷健康状态和告警。（源自IF-BP-006）,REQ-009,candidate
UC-001,提供宽带互联网接入服务,UseCase,04_UseCases,UseCase,,星座系统为各类用户终端提供宽带通信服务，满足覆盖和容量目标。,,candidate
