local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模与构型,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统由100颗低轨卫星组成，采用10个轨道面×10星的Walker类构型，轨道高度1100km，倾角53°。（来源：总体方案需求REQ-LEO-001）,REQ-LEO-001,candidate
REQ-002,覆盖范围,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座覆盖指定区域，重点支持海洋、航空及边远地区通信，覆盖重数待确认。（来源：总体方案需求REQ-LEO-002）,REQ-LEO-002,candidate
REQ-003,系统容量与吞吐量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统支持不少于10000个并发宽带用户接入；单星用户侧有效转发吞吐量不低于20Gbps，网关馈电链路峰值吞吐量不低于40Gbps，并支持按业务优先级调度。（合并REQ-LEO-004及载荷需求REQ-BP-002）,"REQ-LEO-004, REQ-BP-002",candidate
REQ-004,星间互联能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星间链路初始支持不低于10Gbps的数据转发，硬件及接口预留升级至50Gbps的能力。（来源：REQ-LEO-005及REQ-BP-003）,"REQ-LEO-005, REQ-BP-003",candidate
REQ-005,端到端时延,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户终端到地面网络端到端通信时延（含星上处理、星间转发及地面传输）应不大于80毫秒。（来源：REQ-LEO-006）,REQ-LEO-006,candidate
REQ-006,链路带宽可扩展性,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星间链路带宽应具备从10Gbps向50Gbps平滑升级的能力，关键参数变更必须触发影响分析。（来源：REQ-LEO-007）,REQ-LEO-007,candidate
REQ-007,系统可用性,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统整体可用度目标不低于99.9%，单星可靠性与星座冗余策略需协同保障。（来源：REQ-LEO-008，具体指标待确认）,REQ-LEO-008,candidate
REQ-008,在轨可重构,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,载荷应支持在轨更新波束配置、路由策略、转发参数和业务优先级策略，更新过程具备回滚机制。（来源：REQ-BP-008）,REQ-BP-008,candidate
REQ-009,运维管理,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统需支持星座健康监测、遥控遥测、远程配置及软件更新，并具备故障检测与恢复能力。（来源：总体方案运维管理需求）,REQ-009,candidate
UC-001,宽带用户接入,UseCase,02_UseCases,UseCase,,用户终端通过卫星实现互联网宽带接入，包括数据传输、会话管理等功能。,,candidate
UC-002,跨星业务转发,UseCase,02_UseCases,UseCase,,卫星之间通过星间链路进行用户业务数据的路由与转发，实现超视距通信。,,candidate
UC-003,应急通信保障,UseCase,02_UseCases,UseCase,,在地面网络中断的区域，通过卫星提供临时的应急语音、数据通信保障。,,candidate
UC-004,星座健康监测,UseCase,02_UseCases,UseCase,,运控系统实时监测各卫星平台及载荷的健康状态，获取遥测参数与告警信息。,,candidate
UC-005,链路带宽升级评估,UseCase,02_UseCases,UseCase,,当需要提升星间链路带宽时，对硬件能力、接口兼容性及系统影响进行评估与验证。,,candidate
UC-006,在轨重构配置,UseCase,02_UseCases,UseCase,,通过运控系统向载荷下发新的配置参数或软件，实现在轨波束、路由及策略的更新。,,candidate
IF-001,用户链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与用户终端之间的Ku/Ka频段无线接口，承载用户业务数据、同步信令及接入控制信息。（来源：IF-BP-001及IF-LEO-001）,"IF-BP-001, IF-LEO-001",candidate
IF-002,馈电链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与地面网关站之间的高速馈电链路，用于用户业务回传、网络控制及路由策略更新。（来源：IF-BP-002及IF-LEO-002）,"IF-BP-002, IF-LEO-002",candidate
IF-003,星间链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与其他卫星或星间链路终端之间的通信接口，支持星间业务转发与路由交换。（来源：IF-BP-003及IF-LEO-003）,"IF-BP-003, IF-LEO-003",candidate
IF-004,测控管理接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与星务计算机/运控系统之间的接口，接收配置、遥控和软件更新指令，输出健康状态、告警及日志。（来源：IF-BP-006及IF-LEO-004）,"IF-BP-006, IF-LEO-004",candidate
IF-005,服务管理接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与业务管理系统之间的接口，用于业务开通、服务等级配置及计费信息交互。（来源：IF-LEO-005）,IF-LEO-005,candidate
BLK-001,低轨卫星互联网系统,Block,03_Blocks,Class,SysML::Blocks::Block,系统顶层块，包含空间段星座、地面段及运维管控段等所有组成部分。,,candidate
BLK-002,通信卫星,Block,03_Blocks,Class,SysML::Blocks::Block,单颗低轨通信卫星，包含平台、宽带载荷、星间链路终端等核心子系统。,,candidate
BLK-003,宽带载荷分系统,Block,03_Blocks,Class,SysML::Blocks::Block,实现用户接入、数据转发、星上处理与路由的核心载荷，支持在轨可重构。,,candidate
BLK-004,星间链路终端,Block,03_Blocks,Class,SysML::Blocks::Block,提供卫星间激光或射频通信能力的终端设备，支持10Gbps～50Gbps速率。,,candidate
BLK-005,星务计算机,Block,03_Blocks,Class,SysML::Blocks::Block,卫星平台管理单元，负责遥测遥控、指令分发、健康管理及与运控系统接口。,,candidate
BLK-006,地面信关站,Block,03_Blocks,Class,SysML::Blocks::Block,连接卫星与地面公共网络的网关设备，包含天线、信道设备及网络接口。,,candidate
BLK-007,用户终端,Block,03_Blocks,Class,SysML::Blocks::Block,用户侧通信设备，支持固定、便携、机载/船载等多种形态，通过用户链路接入卫星。,,candidate
