local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,多波束宽带覆盖,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持全国土及周边海域覆盖，可生成不少于16个灵活用户点波束及2个全球波束。（源自REQ-BP-001）,REQ-BP-001,candidate
REQ-002,宽带吞吐能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星用户侧有效转发吞吐量不低于20Gbps，网关馈电链路峰值吞吐量不低于40Gbps，支持按业务优先级进行带宽调度。（源自REQ-BP-002）,REQ-BP-002,candidate
REQ-003,星间链路能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,载荷应与星间链路终端协同工作，支持不少于10Gbps星间数据转发能力，并具备升级至50Gbps的接口余量。（源自REQ-BP-003）,REQ-BP-003,candidate
REQ-004,星上处理与路由,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持星上数字透明转发、波束间交换、业务分类、路由表更新和网络管理指令下发。（源自REQ-BP-004）,REQ-BP-004,candidate
REQ-005,低时延服务,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星上处理引入的单跳处理时延需满足特定指标（具体数值待确认）。（源自REQ-BP-005）,REQ-BP-005,candidate
REQ-006,载荷重量与功耗约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,宽带载荷总重量不超过150kg，平均功耗不超过2500W。（源自REQ-BP-006）,REQ-BP-006,candidate
REQ-007,遥测与健康管理,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,实时监测并上报各模块温度、电压、功率、误码率等参数。（源自REQ-BP-007）,REQ-BP-007,candidate
REQ-008,在轨可重构,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持在轨更新波束配置、路由策略等，且更新过程具备回滚机制。（源自REQ-BP-008）,REQ-BP-008,candidate
REQ-009,星座规模与构型,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,由100颗卫星组成，10个轨道面，每面10颗，采用Walker类星座构型。（源自REQ-LEO-001）,REQ-LEO-001,candidate
REQ-010,全球覆盖要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,实现指定区域连续覆盖（讨论中假设为全球覆盖，极区除外）。（源自REQ-LEO-002）,REQ-LEO-002,candidate
REQ-011,系统容量要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星用户转发吞吐量≥20Gbps，并发在线用户数≥10000。（源自REQ-LEO-003）,REQ-LEO-003,candidate
REQ-012,星间互联要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持星间链路互联，初始星间转发能力≥10Gbps，具备向50Gbps演进的能力。（源自REQ-LEO-004）,REQ-LEO-004,candidate
REQ-013,端到端时延要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户面端到端通信时延≤80ms。（源自REQ-LEO-005）,REQ-LEO-005,candidate
REQ-014,用户带宽保障,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单用户下行峰值速率不低于100Mbps，上行不低于20Mbps，保障速率根据业务等级动态分配。（源自REQ-LEO-006）,REQ-LEO-006,candidate
REQ-015,系统可靠性要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,网络可用度不低于99.9%，单星设计寿命5年，支持降级运行。（源自REQ-LEO-007）,REQ-LEO-007,candidate
REQ-016,运维管理要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持星座状态实时监控、业务调度、故障隔离及软件在轨更新，变更影响分析沙箱预演。（源自REQ-LEO-008）,REQ-LEO-008,candidate
UC-001,宽带接入服务,UseCase,02_UseCases,UseCase,,用户终端通过低轨卫星访问互联网，实现上下行宽带数据通信。,,candidate
UC-002,跨星数据转发,UseCase,02_UseCases,UseCase,,利用星间链路实现卫星间数据透明转发，降低对地面网关的依赖。,,candidate
UC-003,应急通信保障,UseCase,02_UseCases,UseCase,,在灾害或网络中断场景下，通过卫星提供临时宽带接入和消息路由。,,candidate
UC-004,载荷健康监测,UseCase,02_UseCases,UseCase,,实时采集载荷温度、功率、误码率等遥测，进行故障预判和告警。,,candidate
UC-005,链路带宽升级评估,UseCase,02_UseCases,UseCase,,业务管理系统模拟变更（如增加波束、提升带宽），评估对系统容量和资源的影响，支持沙箱预演。,,candidate
BLK-001,低轨卫星星座,Block,03_Structure,Class,SysML::Blocks::Block,由100颗通信卫星组成的Walker星座，负责提供全球覆盖和星间组网。,,candidate
BLK-002,通信卫星,Block,03_Structure,Class,SysML::Blocks::Block,单颗低轨卫星，包含宽带载荷、星间链路终端、平台分系统等。,,candidate
BLK-003,宽带载荷分系统,Block,03_Structure,Class,SysML::Blocks::Block,实现用户链路、馈电链路、星间链路处理、星上交换与路由、健康管理等功能。,,candidate
BLK-004,星间链路终端,Block,03_Structure,Class,SysML::Blocks::Block,提供激光/微波星间链路，支持高速星间数据交换。,,candidate
BLK-005,地面网关站,Block,03_Structure,Class,SysML::Blocks::Block,通过馈电链路与卫星连接，将卫星网络接入地面骨干网。,,candidate
BLK-006,用户终端,Block,03_Structure,Class,SysML::Blocks::Block,包括固定、便携、车载、船载等终端类型，通过用户链路接入卫星。,,candidate
BLK-007,运控管理系统,Block,03_Structure,Class,SysML::Blocks::Block,负责卫星平台测控、载荷配置、路由策略下发及健康状态监控。,,candidate
