local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
ACT-001,用户接入流程,Activity,Activity,,描述“用户接入能力”从触发、处理到反馈的核心流程。,REQ-001,committed
ACT-002,链路资源管理流程,Activity,Activity,,描述“链路资源管理能力”从触发、处理到反馈的核心流程。,REQ-002,committed
ACT-003,业务调度流程,Activity,Activity,,描述“业务调度能力”从触发、处理到反馈的核心流程。,REQ-003,committed
ACT-004,网络状态监测流程,Activity,Activity,,描述“网络状态监测能力”从触发、处理到反馈的核心流程。,REQ-004,committed
ACT-005,故障告警流程,Activity,Activity,,描述“故障告警能力”从触发、处理到反馈的核心流程。,REQ-005,committed
BLK-001,宽带通信系统,Block,Class,SysML::Blocks::Block,负责宽带业务接入、链路管理、业务调度和状态监测的系统级模块。,REQ-001,committed
IF-001,用户接入接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“用户接入能力”的数据、控制或状态交互接口。,REQ-001,committed
IF-002,链路资源管理接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“链路资源管理能力”的数据、控制或状态交互接口。,REQ-002,committed
IF-003,业务调度接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“业务调度能力”的数据、控制或状态交互接口。,REQ-003,committed
IF-004,网络状态监测接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“网络状态监测能力”的数据、控制或状态交互接口。,REQ-004,committed
IF-005,故障告警接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“故障告警能力”的数据、控制或状态交互接口。,REQ-005,committed
REQ-001,用户接入能力,Requirement,Class,SysML::Requirements::Requirement,系统应支持宽带用户终端接入认证、接入状态管理和在线状态监测。,REQ-001,committed
REQ-002,链路资源管理能力,Requirement,Class,SysML::Requirements::Requirement,系统应支持链路资源分配、链路质量监测和资源状态维护。,REQ-002,committed
REQ-003,业务调度能力,Requirement,Class,SysML::Requirements::Requirement,系统应根据业务优先级进行资源调度，并保障关键业务传输质量。,REQ-003,committed
REQ-004,网络状态监测能力,Requirement,Class,SysML::Requirements::Requirement,系统应对用户接入状态、链路质量和网络运行状态进行实时监测。,REQ-004,committed
REQ-005,故障告警能力,Requirement,Class,SysML::Requirements::Requirement,系统应在链路质量下降或关键服务异常时触发告警并支持运维追溯。,REQ-005,committed
UC-001,用户接入,UseCase,UseCase,,围绕“用户接入能力”展开的用户或系统行为场景。,REQ-001,committed
UC-002,链路资源管理,UseCase,UseCase,,围绕“链路资源管理能力”展开的用户或系统行为场景。,REQ-002,committed
UC-003,业务调度,UseCase,UseCase,,围绕“业务调度能力”展开的用户或系统行为场景。,REQ-003,committed
UC-004,网络状态监测,UseCase,UseCase,,围绕“网络状态监测能力”展开的用户或系统行为场景。,REQ-004,committed
UC-005,故障告警,UseCase,UseCase,,围绕“故障告警能力”展开的用户或系统行为场景。,REQ-005,committed
