local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,Dependency,SysML::Requirements::Trace,REQ-001,用户接入能力,UC-001,用户接入,
REL-002,REL-002,allocate,Dependency,SysML::Allocations::Allocate,UC-001,用户接入,BLK-001,宽带通信系统,
REL-003,REL-003,trace,Dependency,SysML::Requirements::Trace,UC-001,用户接入,IF-001,用户接入接口,
REL-004,REL-004,connect,Dependency,SysML::Requirements::Trace,IF-001,用户接入接口,BLK-001,宽带通信系统,
REL-005,REL-005,refine,Dependency,SysML::Requirements::Trace,UC-001,用户接入,ACT-001,用户接入流程,
REL-006,REL-006,trace,Dependency,SysML::Requirements::Trace,REQ-002,链路资源管理能力,UC-002,链路资源管理,
REL-007,REL-007,allocate,Dependency,SysML::Allocations::Allocate,UC-002,链路资源管理,BLK-001,宽带通信系统,
REL-008,REL-008,trace,Dependency,SysML::Requirements::Trace,UC-002,链路资源管理,IF-002,链路资源管理接口,
REL-009,REL-009,connect,Dependency,SysML::Requirements::Trace,IF-002,链路资源管理接口,BLK-001,宽带通信系统,
REL-010,REL-010,refine,Dependency,SysML::Requirements::Trace,UC-002,链路资源管理,ACT-002,链路资源管理流程,
REL-011,REL-011,trace,Dependency,SysML::Requirements::Trace,REQ-003,业务调度能力,UC-003,业务调度,
REL-012,REL-012,allocate,Dependency,SysML::Allocations::Allocate,UC-003,业务调度,BLK-001,宽带通信系统,
REL-013,REL-013,trace,Dependency,SysML::Requirements::Trace,UC-003,业务调度,IF-003,业务调度接口,
REL-014,REL-014,connect,Dependency,SysML::Requirements::Trace,IF-003,业务调度接口,BLK-001,宽带通信系统,
REL-015,REL-015,refine,Dependency,SysML::Requirements::Trace,UC-003,业务调度,ACT-003,业务调度流程,
REL-016,REL-016,trace,Dependency,SysML::Requirements::Trace,REQ-004,网络状态监测能力,UC-004,网络状态监测,
REL-017,REL-017,allocate,Dependency,SysML::Allocations::Allocate,UC-004,网络状态监测,BLK-001,宽带通信系统,
REL-018,REL-018,trace,Dependency,SysML::Requirements::Trace,UC-004,网络状态监测,IF-004,网络状态监测接口,
REL-019,REL-019,connect,Dependency,SysML::Requirements::Trace,IF-004,网络状态监测接口,BLK-001,宽带通信系统,
REL-020,REL-020,refine,Dependency,SysML::Requirements::Trace,UC-004,网络状态监测,ACT-004,网络状态监测流程,
REL-021,REL-021,trace,Dependency,SysML::Requirements::Trace,REQ-005,故障告警能力,UC-005,故障告警,
REL-022,REL-022,allocate,Dependency,SysML::Allocations::Allocate,UC-005,故障告警,BLK-001,宽带通信系统,
REL-023,REL-023,trace,Dependency,SysML::Requirements::Trace,UC-005,故障告警,IF-005,故障告警接口,
REL-024,REL-024,connect,Dependency,SysML::Requirements::Trace,IF-005,故障告警接口,BLK-001,宽带通信系统,
REL-025,REL-025,refine,Dependency,SysML::Requirements::Trace,UC-005,故障告警,ACT-005,故障告警流程,
