local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座由100颗卫星组成，采用Walker构型（10轨道面×10星），支持按批次扩展。,REQ-LEO-001,candidate
REQ-002,覆盖能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,提供区域连续覆盖，包括海洋、航空、边远及应急区域，支持多波束覆盖和用户接入。,REQ-LEO-002,candidate
REQ-003,用户容量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统并发宽带用户数≥10000，支持业务优先级调度。,REQ-LEO-003,candidate
REQ-004,星间互联,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持星间链路进行跨星路由、状态交换和业务转发。,REQ-LEO-004,candidate
REQ-005,端到端时延,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,普通业务端到端时延≤80ms，应急高优先级业务需进一步保障。,REQ-LEO-005,candidate
REQ-006,链路带宽,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星间链路带宽≥10Gbps，预留升级至50Gbps的接口余量。,REQ-LEO-006,candidate
REQ-007,可靠性,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统具备故障隔离、链路绕转、网关切换和业务降级能力，确保高可靠运行。,REQ-LEO-007,candidate
REQ-008,运维管理,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,支持健康监测、任务规划、在轨配置更新、日志审计等运维功能。,REQ-LEO-008,candidate
REQ-009,单星用户侧转发吞吐量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星用户侧有效转发吞吐量不低于20Gbps（源自宽带载荷分系统早期需求）。,REQ-BP-002,candidate
BLK-001,LEO星座系统,Block,02_Structure,Class,SysML::Blocks::Block,系统级模块，包含所有星载和地面段子系统。,,candidate
BLK-002,通信卫星,Block,02_Structure,Class,SysML::Blocks::Block,卫星平台与宽带通信载荷，具备星间链路终端、星务计算机、电源、热控、姿轨控及测控单元。,,candidate
BLK-003,地面信关站,Block,02_Structure,Class,SysML::Blocks::Block,负责馈电链路接入、核心网连接、网络控制与业务汇聚。,,candidate
BLK-004,运控管理系统,Block,02_Structure,Class,SysML::Blocks::Block,承担星座运行、资源调度、健康监测、软件更新和任务规划。,,candidate
BLK-005,服务管理系统,Block,02_Structure,Class,SysML::Blocks::Block,负责用户接入管理、计费、QoS策略及业务优先级控制。,,candidate
BLK-006,用户终端,Block,02_Structure,Class,SysML::Blocks::Block,外部参与者，包括固定站、车载、船载、机载及便携应急终端。,,candidate
BLK-007,设计师,Block,02_Structure,Class,SysML::Blocks::Block,触发链路带宽升级评估用例的外部角色。,,candidate
UC-001,宽带用户接入,UseCase,03_UseCases,UseCase,,用户终端通过卫星接入网络，完成认证、资源分配和业务数据转发。,,candidate
UC-002,跨星业务转发,UseCase,03_UseCases,UseCase,,当无直接地面网关覆盖时，通过星间链路将业务数据经多颗卫星转发至地面信关站。,,candidate
UC-003,应急通信保障,UseCase,03_UseCases,UseCase,,识别应急用户高优先级业务，动态调整波束及路由以保障通信资源。,,candidate
UC-004,星座健康监测,UseCase,03_UseCases,UseCase,,采集卫星遥测、链路状态和告警，由运控管理系统进行状态评估和故障处置。,,candidate
UC-005,链路带宽升级评估,UseCase,03_UseCases,UseCase,,设计师触发将星间链路带宽升级至50Gbps的影响预演与评估。,,candidate
IF-001,用户接入接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,用户终端与通信卫星之间的Ku/Ka频段链路，承载用户业务数据、同步信令和接入控制信息。,IF-LEO-001,candidate
IF-002,馈电链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,通信卫星与地面信关站之间的高速馈电链路，用于业务回传、网络控制和路由策略更新。,IF-LEO-002,candidate
IF-003,星间链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,相邻通信卫星间链路，支持跨星数据转发、链路状态交换和拥塞控制。,IF-LEO-003,candidate
