local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
ACT-001,低轨卫星互联网总体方案生成流程,Activity,Activity,,描述“低轨卫星互联网总体方案生成”从触发、处理到反馈的核心流程。,REQ-001,committed
ACT-002,用户接入状态实时监测与链路质量告警流程,Activity,Activity,,描述“用户接入状态实时监测与链路质量告警”从触发、处理到反馈的核心流程。,REQ-002,committed
ACT-003,基于业务优先级的资源调度与传输保障流程,Activity,Activity,,描述“基于业务优先级的资源调度与传输保障”从触发、处理到反馈的核心流程。,REQ-003,committed
ACT-004,外部网络管理系统数据接口流程,Activity,Activity,,描述“外部网络管理系统数据接口”从触发、处理到反馈的核心流程。,REQ-004,committed
ACT-005,核心业务流程建模与追溯分析流程,Activity,Activity,,描述“核心业务流程建模与追溯分析”从触发、处理到反馈的核心流程。,REQ-005,committed
BLK-001,宽带通信系统,Block,Class,SysML::Blocks::Block,负责宽带业务接入、链路管理、业务调度和状态监测的系统级模块。,REQ-001,committed
IF-001,低轨卫星互联网总体方案生成接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“低轨卫星互联网总体方案生成”的数据、控制或状态交互接口。,REQ-001,committed
IF-002,用户接入状态实时监测与链路质量告警接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“用户接入状态实时监测与链路质量告警”的数据、控制或状态交互接口。,REQ-002,committed
IF-003,基于业务优先级的资源调度与传输保障接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“基于业务优先级的资源调度与传输保障”的数据、控制或状态交互接口。,REQ-003,committed
IF-004,外部网络管理系统数据接口接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“外部网络管理系统数据接口”的数据、控制或状态交互接口。,REQ-004,committed
IF-005,核心业务流程建模与追溯分析接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“核心业务流程建模与追溯分析”的数据、控制或状态交互接口。,REQ-005,committed
REQ-001,低轨卫星互联网总体方案生成,Requirement,Class,SysML::Requirements::Requirement,生成一个由100颗低轨道（LEO）卫星组成的卫星互联网总体方案，需涵盖星座设计、网络架构、链路预算、地面段、用户段及运营模式等关键要素。,REQ-001,committed
REQ-002,用户接入状态实时监测与链路质量告警,Requirement,Class,SysML::Requirements::Requirement,系统应支持对用户接入状态进行实时监测，并在链路质量下降时进行告警。,REQ-002,committed
REQ-003,基于业务优先级的资源调度与传输保障,Requirement,Class,SysML::Requirements::Requirement,系统应支持根据业务优先级进行资源调度，并保障关键业务的传输质量。,REQ-003,committed
REQ-004,外部网络管理系统数据接口,Requirement,Class,SysML::Requirements::Requirement,系统应提供与外部网络管理系统的数据接口，用于状态同步和运维管理。,REQ-004,committed
REQ-005,核心业务流程建模与追溯分析,Requirement,Class,SysML::Requirements::Requirement,系统应支持对核心业务流程进行建模、追溯和变更影响分析。,REQ-005,committed
UC-001,低轨卫星互联网总体方案生成,UseCase,UseCase,,围绕“低轨卫星互联网总体方案生成”展开的用户或系统行为场景。,REQ-001,committed
UC-002,用户接入状态实时监测与链路质量告警,UseCase,UseCase,,围绕“用户接入状态实时监测与链路质量告警”展开的用户或系统行为场景。,REQ-002,committed
UC-003,基于业务优先级的资源调度与传输保障,UseCase,UseCase,,围绕“基于业务优先级的资源调度与传输保障”展开的用户或系统行为场景。,REQ-003,committed
UC-004,外部网络管理系统数据接口,UseCase,UseCase,,围绕“外部网络管理系统数据接口”展开的用户或系统行为场景。,REQ-004,committed
UC-005,核心业务流程建模与追溯分析,UseCase,UseCase,,围绕“核心业务流程建模与追溯分析”展开的用户或系统行为场景。,REQ-005,committed
