local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座系统,BLK-002,通信卫星,星座系统包含多颗通信卫星
REL-002,REL-002,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座系统,BLK-006,地面网关,星座系统包含地面网关
REL-003,REL-003,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座系统,BLK-007,运控管理系统,星座系统包含运控管理系统
REL-004,REL-004,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座系统,BLK-008,业务管理系统,星座系统包含业务管理系统
REL-005,REL-005,contains,06_Traceability,Association,CompositeAssociation,BLK-002,通信卫星,BLK-003,宽带通信载荷,通信卫星包含宽带通信载荷
REL-006,REL-006,contains,06_Traceability,Association,CompositeAssociation,BLK-002,通信卫星,BLK-004,星间链路终端,通信卫星包含星间链路终端
REL-007,REL-007,contains,06_Traceability,Association,CompositeAssociation,BLK-002,通信卫星,BLK-005,卫星平台,通信卫星包含卫星平台
REL-008,REL-008,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-001,星座规模要求,BLK-001,低轨卫星互联网星座系统,星座规模要求由100颗通信卫星的星座系统结构满足
REL-009,REL-009,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-002,轨道参数要求,BLK-002,通信卫星,轨道参数要求通过通信卫星的部署高度和倾角实现
REL-010,REL-010,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-003,星间链路带宽要求,BLK-004,星间链路终端,星间链路带宽要求由星间链路终端满足并可升级
REL-011,REL-011,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-004,端到端时延要求,BLK-003,宽带通信载荷,端到端时延要求由宽带通信载荷的调度与路由能力保证
REL-012,REL-012,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-005,用户容量要求,BLK-003,宽带通信载荷,用户容量要求通过宽带通信载荷的多波束和容量设计满足
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,外部接口要求,IF-001,用户接入链路接口,用户接入接口实现外部接口要求中的用户接入链路
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,外部接口要求,IF-002,馈电链路接口,馈电链路接口实现馈电链路要求
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,外部接口要求,IF-003,星间链路接口,星间链路接口实现星间链路要求
REL-016,REL-016,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,外部接口要求,IF-004,运控管理接口,运控管理接口实现运控管理要求
REL-017,REL-017,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,外部接口要求,IF-005,服务管理接口,服务管理接口实现服务管理要求
REL-018,REL-018,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,故障与降级处理要求,BLK-007,运控管理系统,故障降级要求通过运控管理系统的健康监测和恢复策略满足
REL-019,REL-019,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,故障与降级处理要求,BLK-003,宽带通信载荷,链路绕转和网关切换在宽带通信载荷的路由控制中实现
REL-020,REL-020,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,典型用例支撑要求,UC-001,普通用户宽带接入,典型用例支撑要求追溯到普通用户宽带接入用例
REL-021,REL-021,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,典型用例支撑要求,UC-002,跨星数据转发,典型用例支撑要求追溯到跨星数据转发用例
REL-022,REL-022,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,典型用例支撑要求,UC-003,应急通信保障,典型用例支撑要求追溯到应急通信保障用例
REL-023,REL-023,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,典型用例支撑要求,UC-004,卫星健康监测,典型用例支撑要求追溯到卫星健康监测用例
REL-024,REL-024,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,典型用例支撑要求,UC-005,带宽升级评估,典型用例支撑要求追溯到带宽升级评估用例
REL-025,REL-025,dependency,06_Traceability,Dependency,Dependency,UC-001,普通用户宽带接入,BLK-009,用户终端,普通用户宽带接入涉及用户终端参与者
REL-026,REL-026,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,普通用户宽带接入,BLK-003,宽带通信载荷,接入流程依赖宽带通信载荷的处理能力
REL-027,REL-027,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-002,跨星数据转发,BLK-004,星间链路终端,跨星转发依赖星间链路终端
REL-028,REL-028,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-004,卫星健康监测,BLK-007,运控管理系统,健康监测由运控管理系统执行
REL-029,REL-029,dependency,06_Traceability,Dependency,Dependency,UC-005,带宽升级评估,BLK-010,设计师,带宽升级评估由设计师发起
REL-030,REL-030,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-001,用户接入业务流程,UC-001,普通用户宽带接入,用户接入活动进一步细化普通用户宽带接入用例行为
REL-031,REL-031,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-002,跨星数据转发流程,UC-002,跨星数据转发,跨星数据转发活动细化对应用例
REL-032,REL-032,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-003,带宽升级变更影响分析流程,UC-005,带宽升级评估,带宽升级变更影响分析活动细化对应用例
REL-033,REL-033,derivereqt,06_Traceability,Dependency,SysML::Requirements::DeriveReqt,CON-001,覆盖能力约束,REQ-002,轨道参数要求,覆盖能力约束为轨道参数要求提供推导依据
REL-034,REL-034,derivereqt,06_Traceability,Dependency,SysML::Requirements::DeriveReqt,CON-002,星间链路可升级性约束,REQ-003,星间链路带宽要求,可升级性约束为星间链路带宽要求的预留条件提供推导
