local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-001,服务定位与速率,BLK-003,通信载荷,通信载荷实现用户速率不低于100Mbps的需求
REL-002,REL-002,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-002,端到端时延,CON-003,端到端时延分析约束,端到端时延需求由时延分析约束细化验证
REL-003,REL-003,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-003,星座规模与构型,BLK-001,低轨卫星互联网系统,星座规模与构型需求由整体系统块承载
REL-004,REL-004,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-004,单星质量约束,CON-001,单星质量约束块,单星质量需求细化为质量约束块
REL-005,REL-005,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-005,单星功耗约束,CON-002,单星功耗约束块,单星功耗需求细化为功耗约束块
REL-006,REL-006,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-006,星间链路能力,IF-003,星间链路接口,星间链路能力需求由星间链路接口满足
REL-007,REL-007,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,空间碎片减缓,BLK-002,卫星平台,空间碎片减缓需求将分配给卫星平台离轨设计
REL-008,REL-008,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-008,地面段互联要求,IF-005,地面核心网接口,地面段互联需求由核心网接口实现
REL-009,REL-009,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-002,卫星平台,系统包含卫星平台
REL-010,REL-010,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-004,信关站,系统包含信关站
REL-011,REL-011,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-005,用户终端,系统包含用户终端
REL-012,REL-012,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-006,运营管理中心,系统包含运营管理中心
REL-013,REL-013,contains,06_Traceability,Association,CompositeAssociation,BLK-002,卫星平台,BLK-003,通信载荷,卫星平台包含通信载荷
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-001,Uu用户链路接口,BLK-003,通信载荷,Uu用户链路接口分配给通信载荷
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-002,馈电链路接口,BLK-003,通信载荷,馈电链路接口分配给通信载荷
REL-016,REL-016,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-003,星间链路接口,BLK-003,通信载荷,星间链路接口分配给通信载荷
REL-017,REL-017,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-004,测控链路接口,BLK-002,卫星平台,测控链路接口分配给卫星平台测控应答机
REL-018,REL-018,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-005,地面核心网接口,BLK-004,信关站,核心网接口分配给信关站
REL-019,REL-019,refine,06_Traceability,Dependency,SysML::Requirements::Refine,UC-001,提供宽带互联网接入,ACT-001,端到端通信服务流程,宽带接入用例由端到端通信服务流程细化
REL-020,REL-020,refine,06_Traceability,Dependency,SysML::Requirements::Refine,UC-002,星间组网与路由,ACT-002,星座拓扑维护与路由更新,星间组网用例由拓扑维护与路由更新流程细化
REL-021,REL-021,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入,IF-001,Uu用户链路接口,宽带接入依赖Uu用户链路接口
REL-022,REL-022,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入,IF-005,地面核心网接口,宽带接入最终依赖地面核心网接口
REL-023,REL-023,dependency,06_Traceability,Dependency,Dependency,CON-001,单星质量约束块,BLK-002,卫星平台,质量约束应用于卫星平台设计
REL-024,REL-024,dependency,06_Traceability,Dependency,Dependency,CON-002,单星功耗约束块,BLK-002,卫星平台,功耗约束应用于卫星平台
REL-025,REL-025,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-003,端到端时延分析约束,ACT-001,端到端通信服务流程,时延约束通过端到端通信服务流程分析进行验证
REL-026,REL-026,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-003,通信载荷,系统结构包含该模块。
REL-027,REL-027,connector,06_Traceability,Dependency,Dependency,BLK-001,低轨卫星互联网系统,BLK-002,卫星平台,相邻结构模块之间存在主架构连接。
REL-028,REL-028,connector,06_Traceability,Dependency,Dependency,BLK-002,卫星平台,BLK-003,通信载荷,相邻结构模块之间存在主架构连接。
REL-029,REL-029,connector,06_Traceability,Dependency,Dependency,BLK-003,通信载荷,BLK-004,信关站,相邻结构模块之间存在主架构连接。
REL-030,REL-030,connector,06_Traceability,Dependency,Dependency,BLK-004,信关站,BLK-005,用户终端,相邻结构模块之间存在主架构连接。
REL-031,REL-031,connector,06_Traceability,Dependency,Dependency,BLK-005,用户终端,BLK-006,运营管理中心,相邻结构模块之间存在主架构连接。
REL-032,REL-032,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网系统,REQ-001,服务定位与速率,结构模块满足对应需求。
REL-033,REL-033,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,服务定位与速率,UC-001,提供宽带互联网接入,需求追溯到相关系统能力。
REL-034,REL-034,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002,卫星平台,REQ-002,端到端时延,结构模块满足对应需求。
REL-035,REL-035,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-002,端到端时延,UC-002,星间组网与路由,需求追溯到相关系统能力。
REL-036,REL-036,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-003,通信载荷,REQ-003,星座规模与构型,结构模块满足对应需求。
REL-037,REL-037,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,星座规模与构型,UC-003,系统测控与健康管理,需求追溯到相关系统能力。
REL-038,REL-038,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-004,信关站,REQ-004,单星质量约束,结构模块满足对应需求。
REL-039,REL-039,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-004,单星质量约束,UC-001,提供宽带互联网接入,需求追溯到相关系统能力。
REL-040,REL-040,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-005,用户终端,REQ-005,单星功耗约束,结构模块满足对应需求。
REL-041,REL-041,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,单星功耗约束,UC-002,星间组网与路由,需求追溯到相关系统能力。
REL-042,REL-042,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-006,运营管理中心,REQ-006,星间链路能力,结构模块满足对应需求。
REL-043,REL-043,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-006,星间链路能力,UC-003,系统测控与健康管理,需求追溯到相关系统能力。
REL-044,REL-044,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网系统,REQ-007,空间碎片减缓,结构模块满足对应需求。
REL-045,REL-045,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-007,空间碎片减缓,UC-001,提供宽带互联网接入,需求追溯到相关系统能力。
REL-046,REL-046,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002,卫星平台,REQ-008,地面段互联要求,结构模块满足对应需求。
REL-047,REL-047,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,地面段互联要求,UC-002,星间组网与路由,需求追溯到相关系统能力。
REL-048,REL-048,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-001,低轨卫星互联网系统,UC-001,提供宽带互联网接入,结构模块支撑该系统能力实现。
REL-049,REL-049,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-002,卫星平台,UC-002,星间组网与路由,结构模块支撑该系统能力实现。
REL-050,REL-050,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-003,通信载荷,UC-003,系统测控与健康管理,结构模块支撑该系统能力实现。
REL-051,REL-051,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-003,系统测控与健康管理,ACT-001,端到端通信服务流程,用例由行为流程进一步细化。
REL-052,REL-052,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-002,星间组网与路由,IF-002,馈电链路接口,用例使用或暴露该接口。
REL-053,REL-053,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-003,系统测控与健康管理,IF-003,星间链路接口,用例使用或暴露该接口。
REL-054,REL-054,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入,IF-004,测控链路接口,用例使用或暴露该接口。
REL-055,REL-055,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-002,星间组网与路由,IF-005,地面核心网接口,用例使用或暴露该接口。
REL-056,REL-056,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-001,单星质量约束块,REQ-001,服务定位与速率,约束验证相关需求。
REL-057,REL-057,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-002,单星功耗约束块,REQ-002,端到端时延,约束验证相关需求。
DREL-UC-001,DREL-UC-001,association,06_Traceability,Dependency,Dependency,ACTOR-001,互联网用户,UC-001,提供宽带互联网接入,用户发起宽带连接请求并使用互联网服务
DREL-UC-002,DREL-UC-002,association,06_Traceability,Dependency,Dependency,ACTOR-002,地面互联网/5G核心网,UC-001,提供宽带互联网接入,系统通过地面核心网实现互联网流量交换
DREL-UC-003,DREL-UC-003,include,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,UC-002,星间组网与路由,宽带接入依赖星间组网与路由以建立端到端连通
DREL-UC-004,DREL-UC-004,association,06_Traceability,Dependency,Dependency,ACTOR-003,运营与测控人员,UC-002,星间组网与路由,运营人员配置和监控星间路由策略
DREL-UC-005,DREL-UC-005,association,06_Traceability,Dependency,Dependency,ACTOR-003,运营与测控人员,UC-003,系统测控与健康管理,运营与测控人员执行星座健康管理与测控
DREL-IBD-001,DREL-IBD-001,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,低轨卫星互联网系统,IBD-BLK-002,卫星平台,系统包含100颗卫星平台
DREL-IBD-002,DREL-IBD-002,connector,06_Traceability,Dependency,Dependency,IBD-BLK-002,卫星平台,IBD-BLK-003,通信载荷,卫星平台集成通信载荷
DREL-IBD-003,DREL-IBD-003,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,低轨卫星互联网系统,IBD-BLK-004,信关站,系统包含多个地面信关站
DREL-IBD-004,DREL-IBD-004,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,低轨卫星互联网系统,IBD-BLK-005,用户终端,系统包含各类用户终端
DREL-IBD-005,DREL-IBD-005,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,低轨卫星互联网系统,IBD-BLK-006,运营管理中心,系统包含运营管理中心
DREL-IBD-006,DREL-IBD-006,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,低轨卫星互联网系统,IBD-BLK-007,测控站,系统包含地面测控站
DREL-IBD-007,DREL-IBD-007,connector,06_Traceability,Dependency,Dependency,IBD-BLK-003,通信载荷,IBD-IF-001,Uu用户链路接口,载荷通过Uu接口连接用户终端
DREL-IBD-008,DREL-IBD-008,connector,06_Traceability,Dependency,Dependency,IBD-BLK-003,通信载荷,IBD-IF-002,馈电链路接口,载荷通过馈电链路接口连接信关站
DREL-IBD-009,DREL-IBD-009,connector,06_Traceability,Dependency,Dependency,IBD-BLK-003,通信载荷,IBD-IF-003,星间链路接口,载荷实现星间激光链路接口
DREL-IBD-010,DREL-IBD-010,connector,06_Traceability,Dependency,Dependency,IBD-BLK-002,卫星平台,IBD-IF-004,测控链路接口,卫星平台通过测控链路接口连接测控站
DREL-IBD-011,DREL-IBD-011,connector,06_Traceability,Dependency,Dependency,IBD-BLK-004,信关站,IBD-IF-005,地面核心网接口,信关站通过核心网接口连接地面互联网/5G
DREL-IBD-012,DREL-IBD-012,connector,06_Traceability,Dependency,Dependency,IBD-BLK-005,用户终端,IBD-IF-001,Uu用户链路接口,用户终端通过Uu接口连接到星座
DREL-IBD-013,DREL-IBD-013,connector,06_Traceability,Dependency,Dependency,IBD-BLK-004,信关站,IBD-IF-002,馈电链路接口,信关站通过馈电链路接口接收卫星数据
DREL-IBD-014,DREL-IBD-014,connector,06_Traceability,Dependency,Dependency,IBD-BLK-007,测控站,IBD-IF-004,测控链路接口,测控站通过测控链路接口管理卫星
DTRACE-UC-001-IBD-BLK-003,DTRACE-UC-001-IBD-BLK-003,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-003,通信载荷,宽带接入用例由通信载荷、信关站和用户终端实现
DTRACE-UC-001-IBD-BLK-004,DTRACE-UC-001-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-004,信关站,宽带接入用例由通信载荷、信关站和用户终端实现
DTRACE-UC-001-IBD-BLK-005,DTRACE-UC-001-IBD-BLK-005,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-005,用户终端,宽带接入用例由通信载荷、信关站和用户终端实现
DTRACE-UC-002-IBD-BLK-003,DTRACE-UC-002-IBD-BLK-003,realize,06_Traceability,Dependency,Dependency,UC-002,星间组网与路由,IBD-BLK-003,通信载荷,星间组网由通信载荷上的激光星间终端实现
DTRACE-UC-003-IBD-BLK-002,DTRACE-UC-003-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-003,系统测控与健康管理,IBD-BLK-002,卫星平台,测控与健康管理由卫星平台、运营中心和测控站实现
DTRACE-UC-003-IBD-BLK-006,DTRACE-UC-003-IBD-BLK-006,realize,06_Traceability,Dependency,Dependency,UC-003,系统测控与健康管理,IBD-BLK-006,运营管理中心,测控与健康管理由卫星平台、运营中心和测控站实现
DTRACE-UC-003-IBD-BLK-007,DTRACE-UC-003-IBD-BLK-007,realize,06_Traceability,Dependency,Dependency,UC-003,系统测控与健康管理,IBD-BLK-007,测控站,测控与健康管理由卫星平台、运营中心和测控站实现
DREL-BLK-002-IBD-014,DREL-BLK-002-IBD-014,connector,06_Traceability,Dependency,Dependency,IF-001,Uu用户链路接口,BLK-003,通信载荷,Uu用户链路接口分配给通信载荷
DREL-BLK-002-IBD-015,DREL-BLK-002-IBD-015,connector,06_Traceability,Dependency,Dependency,IF-002,馈电链路接口,BLK-003,通信载荷,馈电链路接口分配给通信载荷
DREL-BLK-002-IBD-016,DREL-BLK-002-IBD-016,connector,06_Traceability,Dependency,Dependency,IF-003,星间链路接口,BLK-003,通信载荷,星间链路接口分配给通信载荷
DREL-BLK-002-IBD-004,DREL-BLK-002-IBD-004,connector,06_Traceability,Dependency,Dependency,IF-002,馈电链路接口,IF-003,星间链路接口,AI 根据 卫星平台 已有子模块补充的候选连接。
DREL-BLK-002-IBD-005,DREL-BLK-002-IBD-005,connector,06_Traceability,Dependency,Dependency,IF-003,星间链路接口,IF-004,测控链路接口,AI 根据 卫星平台 已有子模块补充的候选连接。
DREL-BLK-002-IBD-006,DREL-BLK-002-IBD-006,connector,06_Traceability,Dependency,Dependency,IF-004,测控链路接口,IF-001,Uu用户链路接口,AI 根据 卫星平台 已有子模块补充的候选连接。
DREL-BLK-002-IBD-AUG-007,DREL-BLK-002-IBD-AUG-007,connector,06_Traceability,Dependency,Dependency,BLK-003,通信载荷,IF-004,测控链路接口,中心平台/总线与该内部单元交换控制、数据或资源。
